"name","run.no.in.std.order","run.no","run.no.std.rp","versions","threads","timeWithoutLikwid","timeWithLikwid"
"1","4",1,"4.1",ft.B,16,9.60,7.64
"2","9",2,"9.1",lu.B,32,31.43,36.20
"3","2",3,"2.1",cg.B,1,108.55,25.25
"4","5",4,"5.1",cg.B,16,24.83,31.82
"5","7",5,"7.1",ft.B,32,7.19,8.06
"6","6",6,"6.1",lu.B,16,37.61,37.94
"7","3",7,"3.1",lu.B,1,211.58,33.48
"8","1",8,"1.1",ft.B,1,70.24,7.79
"9","8",9,"8.1",cg.B,32,24.51,27.63
"10","6",10,"6.2",lu.B,16,37.26,36.60
"11","7",11,"7.2",ft.B,32,7.54,7.68
"12","8",12,"8.2",cg.B,32,20.67,31.96
"13","4",13,"4.2",ft.B,16,9.58,7.66
"14","3",14,"3.2",lu.B,1,211.45,37.01
"15","5",15,"5.2",cg.B,16,24.31,21.20
"16","2",16,"2.2",cg.B,1,108.45,21.23
"17","9",17,"9.2",lu.B,32,38.64,35.27
"18","1",18,"1.2",ft.B,1,70.99,7.64
"19","2",19,"2.3",cg.B,1,109.55,24.67
"20","9",20,"9.3",lu.B,32,33.95,39.23
"21","6",21,"6.3",lu.B,16,33.92,40.13
"22","1",22,"1.3",ft.B,1,70.17,9.57
"23","3",23,"3.3",lu.B,1,210.49,40.84
"24","4",24,"4.3",ft.B,16,10.37,7.81
"25","5",25,"5.3",cg.B,16,24.26,24.12
"26","7",26,"7.3",ft.B,32,8.61,7.98
"27","8",27,"8.3",cg.B,32,22.27,29.18
"28","6",28,"6.4",lu.B,16,35.80,41.91
"29","7",29,"7.4",ft.B,32,7.69,7.76
"30","5",30,"5.4",cg.B,16,24.51,30.83
"31","8",31,"8.4",cg.B,32,22.03,26.31
"32","1",32,"1.4",ft.B,1,70.10,7.61
"33","4",33,"4.4",ft.B,16,9.95,8.18
"34","9",34,"9.4",lu.B,32,34.40,39.16
"35","3",35,"3.4",lu.B,1,211.28,31.90
"36","2",36,"2.4",cg.B,1,108.11,30.16
"37","2",37,"2.5",cg.B,1,109.96,25.24
"38","6",38,"6.5",lu.B,16,36.83,37.19
"39","9",39,"9.5",lu.B,32,40.83,37.23
"40","3",40,"3.5",lu.B,1,210.10,48.17
"41","8",41,"8.5",cg.B,32,27.40,33.00
"42","4",42,"4.5",ft.B,16,8.97,7.89
"43","5",43,"5.5",cg.B,16,23.94,26.60
"44","7",44,"7.5",ft.B,32,7.53,7.65
"45","1",45,"1.5",ft.B,1,72.59,7.59
"46","4",46,"4.6",ft.B,16,9.48,7.89
"47","5",47,"5.6",cg.B,16,23.92,25.88
"48","2",48,"2.6",cg.B,1,110.12,24.36
"49","9",49,"9.6",lu.B,32,30.23,36.75
"50","3",50,"3.6",lu.B,1,210.42,37.40
"51","7",51,"7.6",ft.B,32,7.53,8.07
"52","8",52,"8.6",cg.B,32,23.73,24.34
"53","6",53,"6.6",lu.B,16,34.57,34.81
"54","1",54,"1.6",ft.B,1,70.20,7.67
"55","7",55,"7.7",ft.B,32,7.54,7.87
"56","1",56,"1.7",ft.B,1,70.70,8.03
"57","2",57,"2.7",cg.B,1,108.14,30.93
"58","5",58,"5.7",cg.B,16,25.62,28.30
"59","4",59,"4.7",ft.B,16,10.21,7.76
"60","8",60,"8.7",cg.B,32,20.88,23.74
"61","9",61,"9.7",lu.B,32,30.73,39.00
"62","6",62,"6.7",lu.B,16,40.15,38.29
"63","3",63,"3.7",lu.B,1,211.19,40.22
"64","8",64,"8.8",cg.B,32,22.02,23.21
"65","7",65,"7.8",ft.B,32,7.39,7.67
"66","5",66,"5.8",cg.B,16,24.82,29.20
"67","6",67,"6.8",lu.B,16,38.27,36.90
"68","9",68,"9.8",lu.B,32,41.05,38.17
"69","1",69,"1.8",ft.B,1,70.79,8.21
"70","3",70,"3.8",lu.B,1,211.68,36.85
"71","4",71,"4.8",ft.B,16,9.31,7.80
"72","2",72,"2.8",cg.B,1,109.55,26.93
"73","3",73,"3.9",lu.B,1,211.85,40.48
"74","4",74,"4.9",ft.B,16,9.24,7.79
"75","5",75,"5.9",cg.B,16,23.00,32.55
"76","7",76,"7.9",ft.B,32,7.24,7.59
"77","9",77,"9.9",lu.B,32,31.55,40.10
"78","1",78,"1.9",ft.B,1,70.93,7.91
"79","6",79,"6.9",lu.B,16,37.29,36.52
"80","2",80,"2.9",cg.B,1,108.48,26.08
"81","8",81,"8.9",cg.B,32,20.95,24.71
"82","3",82,"3.10",lu.B,1,210.18,39.21
"83","4",83,"4.10",ft.B,16,10.26,7.80
"84","8",84,"8.10",cg.B,32,24.89,26.22
"85","1",85,"1.10",ft.B,1,70.24,7.52
"86","2",86,"2.10",cg.B,1,108.33,25.54
"87","9",87,"9.10",lu.B,32,40.67,35.29
"88","5",88,"5.10",cg.B,16,25.60,26.75
"89","7",89,"7.10",ft.B,32,7.41,7.74
"90","6",90,"6.10",lu.B,16,36.12,33.82
"91","6",91,"6.11",lu.B,16,39.66,42.03
"92","4",92,"4.11",ft.B,16,10.96,7.93
"93","5",93,"5.11",cg.B,16,24.40,25.27
"94","7",94,"7.11",ft.B,32,7.53,8.60
"95","9",95,"9.11",lu.B,32,36.96,37.72
"96","3",96,"3.11",lu.B,1,212.04,40.19
"97","8",97,"8.11",cg.B,32,21.53,23.86
"98","1",98,"1.11",ft.B,1,70.08,7.77
"99","2",99,"2.11",cg.B,1,109.50,24.10
"100","3",100,"3.12",lu.B,1,210.75,56.72
"101","4",101,"4.12",ft.B,16,9.21,8.76
"102","7",102,"7.12",ft.B,32,7.98,7.58
"103","2",103,"2.12",cg.B,1,109.61,23.83
"104","5",104,"5.12",cg.B,16,22.69,30.95
"105","6",105,"6.12",lu.B,16,39.93,33.26
"106","1",106,"1.12",ft.B,1,70.26,7.70
"107","8",107,"8.12",cg.B,32,25.79,25.06
"108","9",108,"9.12",lu.B,32,29.82,37.74
"109","3",109,"3.13",lu.B,1,212.43,35.90
"110","2",110,"2.13",cg.B,1,109.30,21.58
"111","1",111,"1.13",ft.B,1,70.17,7.74
"112","7",112,"7.13",ft.B,32,7.34,7.87
"113","9",113,"9.13",lu.B,32,33.07,36.08
"114","8",114,"8.13",cg.B,32,25.72,24.12
"115","5",115,"5.13",cg.B,16,25.67,25.13
"116","6",116,"6.13",lu.B,16,29.96,39.62
"117","4",117,"4.13",ft.B,16,11.14,7.60
"118","4",118,"4.14",ft.B,16,9.93,7.92
"119","2",119,"2.14",cg.B,1,108.33,23.93
"120","1",120,"1.14",ft.B,1,70.23,7.63
"121","5",121,"5.14",cg.B,16,22.16,24.35
"122","6",122,"6.14",lu.B,16,38.25,37.98
"123","8",123,"8.14",cg.B,32,34.35,27.61
"124","7",124,"7.14",ft.B,32,8.36,7.98
"125","3",125,"3.14",lu.B,1,211.22,41.19
"126","9",126,"9.14",lu.B,32,40.82,36.63
"127","5",127,"5.15",cg.B,16,24.51,24.79
"128","6",128,"6.15",lu.B,16,29.22,40.79
"129","2",129,"2.15",cg.B,1,108.81,30.20
"130","1",130,"1.15",ft.B,1,70.26,7.70
"131","8",131,"8.15",cg.B,32,27.52,27.22
"132","3",132,"3.15",lu.B,1,210.84,42.04
"133","7",133,"7.15",ft.B,32,7.35,8.00
"134","9",134,"9.15",lu.B,32,35.21,41.37
"135","4",135,"4.15",ft.B,16,10.46,7.77
"136","7",136,"7.16",ft.B,32,7.75,7.90
"137","4",137,"4.16",ft.B,16,9.04,7.81
"138","8",138,"8.16",cg.B,32,27.92,31.55
"139","2",139,"2.16",cg.B,1,107.60,27.78
"140","3",140,"3.16",lu.B,1,211.71,41.45
"141","1",141,"1.16",ft.B,1,71.04,7.76
"142","5",142,"5.16",cg.B,16,23.89,28.39
"143","9",143,"9.16",lu.B,32,34.58,37.99
"144","6",144,"6.16",lu.B,16,39.20,36.63
"145","2",145,"2.17",cg.B,1,108.99,30.00
"146","4",146,"4.17",ft.B,16,9.66,7.91
"147","9",147,"9.17",lu.B,32,38.33,41.10
"148","1",148,"1.17",ft.B,1,71.09,7.71
"149","8",149,"8.17",cg.B,32,26.18,25.75
"150","5",150,"5.17",cg.B,16,23.04,26.10
"151","6",151,"6.17",lu.B,16,32.95,37.05
"152","7",152,"7.17",ft.B,32,7.62,7.89
"153","3",153,"3.17",lu.B,1,211.14,41.55
"154","5",154,"5.18",cg.B,16,25.07,24.68
"155","8",155,"8.18",cg.B,32,23.31,26.40
"156","9",156,"9.18",lu.B,32,33.77,39.46
"157","2",157,"2.18",cg.B,1,109.13,29.82
"158","3",158,"3.18",lu.B,1,211.41,36.97
"159","6",159,"6.18",lu.B,16,30.90,35.74
"160","7",160,"7.18",ft.B,32,7.83,8.08
"161","4",161,"4.18",ft.B,16,9.61,7.69
"162","1",162,"1.18",ft.B,1,70.20,7.87
"163","7",163,"7.19",ft.B,32,7.34,7.86
"164","3",164,"3.19",lu.B,1,211.36,39.24
"165","2",165,"2.19",cg.B,1,111.61,22.17
"166","6",166,"6.19",lu.B,16,32.06,40.83
"167","5",167,"5.19",cg.B,16,25.02,28.81
"168","9",168,"9.19",lu.B,32,36.85,41.38
"169","4",169,"4.19",ft.B,16,8.37,7.99
"170","8",170,"8.19",cg.B,32,24.09,24.70
"171","1",171,"1.19",ft.B,1,70.14,8.37
"172","3",172,"3.20",lu.B,1,211.16,32.63
"173","7",173,"7.20",ft.B,32,7.27,7.72
"174","2",174,"2.20",cg.B,1,109.78,23.47
"175","1",175,"1.20",ft.B,1,70.89,7.80
"176","6",176,"6.20",lu.B,16,35.06,35.43
"177","9",177,"9.20",lu.B,32,41.35,37.90
"178","5",178,"5.20",cg.B,16,22.65,24.77
"179","8",179,"8.20",cg.B,32,19.61,26.14
"180","4",180,"4.20",ft.B,16,8.93,7.60
