State, P#0_T#3116046208, Thread state, 0.000000, 10.907597, 10.907597, 0.000000, Working
State, P#0_T#3116046208, Thread state, 0.059488, 0.077888, 0.018400, 1.000000, Blocked
State, P#0_T#3116046208, Thread state, 0.078186, 0.095206, 0.017020, 1.000000, Blocked
State, P#0_T#3116046208, Thread state, 0.095437, 0.101920, 0.006483, 1.000000, Blocked
State, P#0_T#3116046208, Thread state, 10.831846, 10.844808, 0.012962, 1.000000, GOMP_Section_State
State, P#0_T#3116046208, Thread state, 10.833007, 10.842834, 0.009827, 2.000000, GOMP_For
State, P#0_T#3116046208, Thread state, 10.843033, 10.844034, 0.001001, 2.000000, GOMP_Implicit_Barrier
State, P#0_T#3116046208, Thread state, 10.855736, 10.857245, 0.001509, 1.000000, GOMP_Section_State
State, P#0_T#3116046208, Thread state, 10.855912, 10.856540, 0.000628, 2.000000, GOMP_For
State, P#0_T#3116046208, Thread state, 10.856703, 10.857065, 0.000362, 2.000000, GOMP_Implicit_Barrier
State, P#0_T#3116046208, Thread state, 10.858509, 10.859538, 0.001029, 1.000000, GOMP_Section_State
State, P#0_T#3116046208, Thread state, 10.858672, 10.858965, 0.000293, 2.000000, GOMP_For
State, P#0_T#3116046208, Thread state, 10.859126, 10.859392, 0.000266, 2.000000, GOMP_Implicit_Barrier
State, P#0_T#3116046208, Thread state, 10.870282, 10.871336, 0.001054, 1.000000, GOMP_Section_State
State, P#0_T#3116046208, Thread state, 10.870460, 10.870696, 0.000236, 2.000000, GOMP_For
State, P#0_T#3116046208, Thread state, 10.870861, 10.871161, 0.000300, 2.000000, GOMP_Implicit_Barrier
State, P#0_T#3116046208, Thread state, 10.872326, 10.873562, 0.001236, 1.000000, GOMP_Section_State
State, P#0_T#3116046208, Thread state, 10.872495, 10.872864, 0.000369, 2.000000, GOMP_For
State, P#0_T#3116046208, Thread state, 10.873023, 10.873364, 0.000341, 2.000000, GOMP_Implicit_Barrier
State, P#0_T#3116046208, Thread state, 10.877254, 10.878470, 0.001216, 1.000000, GOMP_Section_State
State, P#0_T#3116046208, Thread state, 10.877427, 10.877668, 0.000241, 2.000000, GOMP_For
State, P#0_T#3116046208, Thread state, 10.877820, 10.878269, 0.000449, 2.000000, GOMP_Implicit_Barrier
State, P#0_T#3116046208, Thread state, 10.880009, 10.881136, 0.001127, 1.000000, GOMP_Section_State
State, P#0_T#3116046208, Thread state, 10.880220, 10.880459, 0.000239, 2.000000, GOMP_For
State, P#0_T#3116046208, Thread state, 10.880614, 10.880975, 0.000361, 2.000000, GOMP_Implicit_Barrier
State, P#0_T#3067451136, Thread state, 3.549714, 10.907597, 7.357883, 0.000000, Working
State, P#0_T#3067451136, Thread state, 10.836011, 10.844852, 0.008841, 1.000000, GOMP_Section_State
State, P#0_T#3067451136, Thread state, 10.836592, 10.837006, 0.000414, 2.000000, GOMP_For
State, P#0_T#3067451136, Thread state, 10.837369, 10.844226, 0.006857, 2.000000, GOMP_Implicit_Barrier
State, P#0_T#3067451136, Thread state, 10.855816, 10.857199, 0.001383, 1.000000, GOMP_Section_State
State, P#0_T#3067451136, Thread state, 10.856009, 10.856264, 0.000255, 2.000000, GOMP_For
State, P#0_T#3067451136, Thread state, 10.856442, 10.856994, 0.000552, 2.000000, GOMP_Implicit_Barrier
State, P#0_T#3067451136, Thread state, 10.858563, 10.859594, 0.001031, 1.000000, GOMP_Section_State
State, P#0_T#3067451136, Thread state, 10.858803, 10.858994, 0.000191, 2.000000, GOMP_For
State, P#0_T#3067451136, Thread state, 10.859151, 10.859432, 0.000281, 2.000000, GOMP_Implicit_Barrier
State, P#0_T#3067451136, Thread state, 10.870243, 10.871347, 0.001104, 1.000000, GOMP_Section_State
State, P#0_T#3067451136, Thread state, 10.870409, 10.870657, 0.000248, 2.000000, GOMP_For
State, P#0_T#3067451136, Thread state, 10.870829, 10.871180, 0.000351, 2.000000, GOMP_Implicit_Barrier
State, P#0_T#3067451136, Thread state, 10.872294, 10.873518, 0.001224, 1.000000, GOMP_Section_State
State, P#0_T#3067451136, Thread state, 10.872455, 10.872655, 0.000200, 2.000000, GOMP_For
State, P#0_T#3067451136, Thread state, 10.872821, 10.873308, 0.000487, 2.000000, GOMP_Implicit_Barrier
State, P#0_T#3067451136, Thread state, 10.877296, 10.878835, 0.001539, 1.000000, GOMP_Section_State
State, P#0_T#3067451136, Thread state, 10.877449, 10.877823, 0.000374, 2.000000, GOMP_For
State, P#0_T#3067451136, Thread state, 10.877983, 10.878679, 0.000696, 2.000000, GOMP_Implicit_Barrier
State, P#0_T#3067451136, Thread state, 10.880045, 10.881057, 0.001012, 1.000000, GOMP_Section_State
State, P#0_T#3067451136, Thread state, 10.880210, 10.880394, 0.000184, 2.000000, GOMP_For
State, P#0_T#3067451136, Thread state, 10.880594, 10.880905, 0.000311, 2.000000, GOMP_Implicit_Barrier
State, P#0_T#3058730752, Thread state, 7.426892, 10.907597, 3.480705, 0.000000, Working
State, P#0_T#3058730752, Thread state, 10.836012, 10.844860, 0.008848, 1.000000, GOMP_Section_State
State, P#0_T#3058730752, Thread state, 10.836629, 10.837087, 0.000458, 2.000000, GOMP_For
State, P#0_T#3058730752, Thread state, 10.837396, 10.844211, 0.006815, 2.000000, GOMP_Implicit_Barrier
State, P#0_T#3058730752, Thread state, 10.855735, 10.857193, 0.001458, 1.000000, GOMP_Section_State
State, P#0_T#3058730752, Thread state, 10.855908, 10.856262, 0.000354, 2.000000, GOMP_For
State, P#0_T#3058730752, Thread state, 10.856451, 10.856989, 0.000538, 2.000000, GOMP_Implicit_Barrier
State, P#0_T#3058730752, Thread state, 10.858518, 10.859603, 0.001085, 1.000000, GOMP_Section_State
State, P#0_T#3058730752, Thread state, 10.858699, 10.858881, 0.000182, 2.000000, GOMP_For
State, P#0_T#3058730752, Thread state, 10.859054, 10.859430, 0.000376, 2.000000, GOMP_Implicit_Barrier
State, P#0_T#3058730752, Thread state, 10.870248, 10.871355, 0.001107, 1.000000, GOMP_Section_State
State, P#0_T#3058730752, Thread state, 10.870415, 10.870647, 0.000232, 2.000000, GOMP_For
State, P#0_T#3058730752, Thread state, 10.870819, 10.871187, 0.000368, 2.000000, GOMP_Implicit_Barrier
State, P#0_T#3058730752, Thread state, 10.872297, 10.873500, 0.001203, 1.000000, GOMP_Section_State
State, P#0_T#3058730752, Thread state, 10.872460, 10.872652, 0.000192, 2.000000, GOMP_For
State, P#0_T#3058730752, Thread state, 10.872813, 10.873292, 0.000479, 2.000000, GOMP_Implicit_Barrier
State, P#0_T#3058730752, Thread state, 10.877232, 10.878384, 0.001152, 1.000000, GOMP_Section_State
State, P#0_T#3058730752, Thread state, 10.877389, 10.877585, 0.000196, 2.000000, GOMP_For
State, P#0_T#3058730752, Thread state, 10.877705, 10.878244, 0.000539, 2.000000, GOMP_Implicit_Barrier
State, P#0_T#3058730752, Thread state, 10.879974, 10.881078, 0.001104, 1.000000, GOMP_Section_State
State, P#0_T#3058730752, Thread state, 10.880120, 10.880304, 0.000184, 2.000000, GOMP_For
State, P#0_T#3058730752, Thread state, 10.880511, 10.880922, 0.000411, 2.000000, GOMP_Implicit_Barrier
State, P#0_T#3050010368, Thread state, 10.809101, 10.907597, 0.098496, 0.000000, Working
State, P#0_T#3050010368, Thread state, 10.831594, 10.844876, 0.013282, 1.000000, GOMP_Section_State
State, P#0_T#3050010368, Thread state, 10.833018, 10.835877, 0.002859, 2.000000, GOMP_For
State, P#0_T#3050010368, Thread state, 10.836757, 10.844055, 0.007298, 2.000000, GOMP_Implicit_Barrier
State, P#0_T#3050010368, Thread state, 10.855802, 10.857178, 0.001376, 1.000000, GOMP_Section_State
State, P#0_T#3050010368, Thread state, 10.855998, 10.856248, 0.000250, 2.000000, GOMP_For
State, P#0_T#3050010368, Thread state, 10.856408, 10.856985, 0.000577, 2.000000, GOMP_Implicit_Barrier
State, P#0_T#3050010368, Thread state, 10.858550, 10.859677, 0.001127, 1.000000, GOMP_Section_State
State, P#0_T#3050010368, Thread state, 10.858755, 10.858960, 0.000205, 2.000000, GOMP_For
State, P#0_T#3050010368, Thread state, 10.859118, 10.859516, 0.000398, 2.000000, GOMP_Implicit_Barrier
State, P#0_T#3050010368, Thread state, 10.870237, 10.871422, 0.001185, 1.000000, GOMP_Section_State
State, P#0_T#3050010368, Thread state, 10.870432, 10.870654, 0.000222, 2.000000, GOMP_For
State, P#0_T#3050010368, Thread state, 10.870833, 10.871252, 0.000419, 2.000000, GOMP_Implicit_Barrier
State, P#0_T#3050010368, Thread state, 10.872239, 10.873484, 0.001245, 1.000000, GOMP_Section_State
State, P#0_T#3050010368, Thread state, 10.872426, 10.872644, 0.000218, 2.000000, GOMP_For
State, P#0_T#3050010368, Thread state, 10.872785, 10.873274, 0.000489, 2.000000, GOMP_Implicit_Barrier
State, P#0_T#3050010368, Thread state, 10.877170, 10.878418, 0.001248, 1.000000, GOMP_Section_State
State, P#0_T#3050010368, Thread state, 10.877349, 10.877598, 0.000249, 2.000000, GOMP_For
State, P#0_T#3050010368, Thread state, 10.877758, 10.878274, 0.000516, 2.000000, GOMP_Implicit_Barrier
State, P#0_T#3050010368, Thread state, 10.879912, 10.881053, 0.001141, 1.000000, GOMP_Section_State
State, P#0_T#3050010368, Thread state, 10.880079, 10.880254, 0.000175, 2.000000, GOMP_For
State, P#0_T#3050010368, Thread state, 10.880411, 10.880892, 0.000481, 2.000000, GOMP_Implicit_Barrier
